time,ID,Group,weight
122,1,1,4.7
150,1,1,4.905
166,1,1,5.011
179,1,1,5.075
219,1,1,5.136
247,1,1,5.165
276,1,1,5.298
296,1,1,5.323
324,1,1,5.416
354,1,1,5.438
380,1,1,5.541
445,1,1,5.652
478,1,1,5.687
508,1,1,5.737
536,1,1,5.814
569,1,1,5.799
599,1,1,5.784
627,1,1,5.844
655,1,1,5.886
668,1,1,5.914
723,1,1,5.979
751,1,1,5.927
781,1,1,5.94
122,2,1,4.868
150,2,1,5.075
166,2,1,5.193
179,2,1,5.22
219,2,1,5.298
247,2,1,5.416
276,2,1,5.481
296,2,1,5.521
324,2,1,5.617
354,2,1,5.635
380,2,1,5.687
445,2,1,5.768
478,2,1,5.799
508,2,1,5.872
536,2,1,5.886
569,2,1,5.872
599,2,1,5.914
627,2,1,5.966
655,2,1,5.991
668,2,1,6.016
723,2,1,6.087
751,2,1,6.098
781,2,1,6.153
122,3,1,4.868
150,3,1,5.011
166,3,1,5.136
179,3,1,5.193
219,3,1,5.273
247,3,1,5.323
276,3,1,5.416
296,3,1,5.46
324,3,1,5.521
354,3,1,5.58
380,3,1,5.617
445,3,1,5.687
478,3,1,5.72
508,3,1,5.753
536,3,1,5.784
569,3,1,5.784
599,3,1,5.784
627,3,1,5.814
655,3,1,5.829
668,3,1,5.872
723,3,1,5.927
751,3,1,5.9
781,3,1,5.991
122,4,1,4.828
150,4,1,5.011
166,4,1,5.136
179,4,1,5.193
219,4,1,5.273
247,4,1,5.347
276,4,1,5.438
296,4,1,5.561
324,4,1,5.541
354,4,1,5.598
380,4,1,5.67
445,4,1,5.521
478,4,1,5.737
508,4,1,5.844
536,4,1,5.858
569,4,1,5.872
599,4,1,5.886
627,4,1,5.927
655,4,1,5.94
668,4,1,5.979
723,4,1,6.052
751,4,1,6.028
781,4,1,6.12
122,5,2,4.787
150,5,2,4.977
166,5,2,5.043
179,5,2,5.136
219,5,2,5.106
247,5,2,5.298
276,5,2,5.298
296,5,2,5.371
324,5,2,5.438
354,5,2,5.501
380,5,2,5.561
445,5,2,5.652
478,5,2,5.67
508,5,2,5.737
536,5,2,5.784
569,5,2,5.768
599,5,2,5.784
627,5,2,5.784
655,5,2,5.829
668,5,2,5.858
723,5,2,5.914
751,5,2,5.9
781,5,2,5.94
122,6,2,4.605
150,6,2,4.828
166,6,2,4.942
179,6,2,5.011
219,6,2,5.106
247,6,2,5.165
